statenum,casenum,vnumber,pnumber,city,heavytruck,numfatal,body,cargo,gvwrating,mcinnnum,regstate,vin,make,model,modelyr,contribcirc
,,,,,,,,,,,,,,,,
6,2371,2,1,3851,0,1,4,0,0,0,36,JN1CA21D0VT8,35,39,1997,0
8,117,1,1,0,0,1,14,0,0,0,36,1FMDU34X0SUA,12,401,1995,0
9,29,1,1,785,0,1,15,0,0,0,36,2HKYF18473H5,37,421,2003,0
9,29,1,2,785,0,1,15,0,0,0,36,2HKYF18473H5,37,421,2003,0
9,42,1,1,634,0,1,14,0,0,0,36,1J8GN28K09W5,2,405,2009,0
9,51,2,1,219,1,1,66,1,3,245377,36,1HSHXAXR84J0,84,881,2004,0
9,71,2,1,765,0,1,4,0,0,0,36,1FAHP3HNXBW1,12,37,2011,0
9,71,2,2,765,0,1,4,0,0,0,36,1FAHP3HNXBW1,12,37,2011,0
9,79,1,1,160,0,1,10,0,0,0,36,1GKDT13S8224,23,399,2002,0
9,157,2,1,810,1,1,66,1,3,1046654,36,1NKWLC9X4CS1,85,881,1982,0
9,157,2,2,810,1,1,66,1,3,1046654,36,1NKWLC9X4CS1,85,881,1982,0
9,199,2,1,235,0,1,15,0,0,0,36,1GYFK668X7R3,19,421,2007,0
11,11,1,1,10,0,1,4,0,0,0,36,2B3CL3CG1BH6,7,24,2011,0
11,11,1,2,10,0,1,4,0,0,0,36,2B3CL3CG1BH6,7,24,2011,0
12,10,1,1,0,0,1,20,0,0,0,36,2C4GP54L85R1,6,441,2005,0
12,10,1,2,0,0,1,20,0,0,0,36,2C4GP54L85R1,6,441,2005,0
12,155,3,1,0,0,3,4,0,0,0,36,4T1BF28B02U2,49,43,2002,0
12,155,3,2,0,0,3,4,0,0,0,36,4T1BF28B02U2,49,43,2002,0
12,155,3,3,0,0,3,4,0,0,0,36,4T1BF28B02U2,49,43,2002,0
12,155,3,4,0,0,3,4,0,0,0,36,4T1BF28B02U2,49,43,2002,0
12,155,3,5,0,0,3,4,0,0,0,36,4T1BF28B02U2,49,43,2002,0
12,270,1,1,1510,0,1,15,0,0,0,36,1GNEK13ZX3R2,20,421,2003,0
