statenum,casenum,vnumber,pnumber,city,heavytruck,numfatal,body,cargo,gvwrating,mcinnnum,regstate,vin,make,model,modelyr,contribcirc
,,,,,,,,,,,,,,,,
1,34,3,1,0,0,1,3,0,0,0,36,WMWSU3C55BT0,69,54,2011,0
1,662,1,1,0,0,1,14,0,0,0,36,1FMZU83KX3ZA,12,401,2003,0
4,735,1,1,0,0,1,4,0,0,0,36,1HGCB7658PA1,37,32,1993,99
4,735,1,2,0,0,1,4,0,0,0,36,1HGCB7658PA1,37,32,1993,99
5,40,2,1,3530,0,1,31,0,0,0,36,1FTJW35F9SEA,12,481,1995,0
5,40,2,2,3530,0,1,31,0,0,0,36,1FTJW35F9SEA,12,481,1995,0
6,1752,2,1,2560,0,1,30,0,0,0,36,CCS142B11710,20,498,1972,0
9,32,2,1,492,0,1,80,0,0,0,36,WB10495A51ZE,34,706,2001,0
9,36,2,1,823,0,1,4,0,0,0,36,4T1BF3EK2BU2,49,40,2011,0
9,36,2,2,823,0,1,4,0,0,0,36,4T1BF3EK2BU2,49,40,2011,0
9,36,2,3,823,0,1,4,0,0,0,36,4T1BF3EK2BU2,49,40,2011,0
9,36,2,4,823,0,1,4,0,0,0,36,4T1BF3EK2BU2,49,40,2011,0
9,37,3,1,846,0,1,51,22,3,2299827,36,YE2CC2AB9D20,98,908,2013,0
9,69,1,1,810,0,2,4,0,0,0,36,2HGES26722H5,37,31,2002,0
9,69,1,2,810,0,2,4,0,0,0,36,2HGES26722H5,37,31,2002,0
9,69,1,3,810,0,2,4,0,0,0,36,2HGES26722H5,37,31,2002,0
9,158,3,1,263,0,1,4,0,0,0,36,WDDNG9EB7DA5,42,43,2013,0
9,189,2,1,510,1,1,66,1,3,63794,36,1M1AA12Y0YW1,86,881,2000,0
9,196,2,1,225,0,1,4,0,0,0,36,KMHDU46D59U6,55,35,2009,0
9,196,2,2,225,0,1,4,0,0,0,36,KMHDU46D59U6,55,35,2009,0
9,259,3,1,852,0,1,15,0,0,0,36,1GKFK66UX2J2,23,421,2002,0
9,259,3,2,852,0,1,15,0,0,0,36,1GKFK66UX2J2,23,421,2002,0
10,13,2,1,0,1,1,4,0,0,0,36,1HGCR2F7XDA1,37,32,2013,0
10,13,2,2,0,1,1,4,0,0,0,36,1HGCR2F7XDA1,37,32,2013,0
12,26,1,1,0,0,1,14,0,0,0,36,2GNALPEK9D11,20,404,2013,0
12,32,1,1,0,0,1,4,0,0,0,36,1HGCG665X2A1,37,32,2002,0
12,54,1,1,0,0,1,4,0,0,0,36,2MEFM75W14X6,14,6,2004,0
12,376,2,1,0,0,1,14,0,0,0,36,KNDPCCA2XB70,63,401,2011,0
12,376,2,2,0,0,1,14,0,0,0,36,KNDPCCA2XB70,63,401,2011,0
12,454,2,1,0,0,2,20,0,0,0,36,JM3LW28J6203,41,441,2002,0
12,454,2,2,0,0,2,20,0,0,0,36,JM3LW28J6203,41,441,2002,0
12,454,2,3,0,0,2,20,0,0,0,36,JM3LW28J6203,41,441,2002,0
12,454,2,4,0,0,2,20,0,0,0,36,JM3LW28J6203,41,441,2002,0
12,454,2,5,0,0,2,20,0,0,0,36,JM3LW28J6203,41,441,2002,0
12,473,1,1,2541,0,1,4,0,0,0,36,1HGCM56877A1,37,32,2007,0
12,511,1,1,0,0,1,20,0,0,0,36,2D4GP44L47R2,7,442,2007,0
12,538,1,1,0,0,1,14,0,0,0,36,1J4GW58S4XC5,2,404,1999,0
12,553,1,1,2950,0,1,4,0,0,0,36,1G1JH52F2273,20,16,2002,0
12,553,1,2,2950,0,1,4,0,0,0,36,1G1JH52F2273,20,16,2002,0
12,646,1,1,2360,0,1,2,0,0,0,36,2T1CF22P6XC2,49,44,1999,0
12,886,1,1,2690,0,1,4,0,0,0,36,5XXGM4A79DG0,63,34,2013,0
12,886,1,2,2690,0,1,4,0,0,0,36,5XXGM4A79DG0,63,34,2013,0
12,1203,1,1,1420,0,1,15,0,0,0,36,1GKDT13W3W25,23,421,1998,0
12,1675,2,1,0,0,1,4,0,0,0,36,1FAHP2DW7BG1,12,17,2011,0
12,1675,2,2,0,0,1,4,0,0,0,36,1FAHP2DW7BG1,12,17,2011,0
12,1730,1,1,0,1,1,66,2,3,332037,36,1FUJGHDV1DLB,82,881,2013,0
12,1730,1,2,0,1,1,66,2,3,332037,36,1FUJGHDV1DLB,82,881,2013,0
12,1821,1,1,0,1,1,20,0,0,0,36,KNDMG4C78B64,63,441,2011,99
12,2004,2,1,0,0,5,4,0,0,0,36,1N4AL3AP2DC2,35,47,2013,0
12,2004,2,2,0,0,5,4,0,0,0,36,1N4AL3AP2DC2,35,47,2013,0
12,2004,2,3,0,0,5,4,0,0,0,36,1N4AL3AP2DC2,35,47,2013,0
12,2004,2,4,0,0,5,4,0,0,0,36,1N4AL3AP2DC2,35,47,2013,0
13,103,1,1,3010,0,1,3,0,0,0,36,2C1MR2465R67,20,34,1994,99
13,1053,6,1,0,1,3,31,0,0,0,36,1GCJK39G41E3,20,481,2001,0
13,1053,6,2,0,1,3,31,0,0,0,36,1GCJK39G41E3,20,481,2001,0
22,130,1,1,1225,0,1,4,0,0,0,36,JM1BL1UG1C15,41,51,2012,0
22,130,1,2,1225,0,1,4,0,0,0,36,JM1BL1UG1C15,41,51,2012,0
23,14,1,1,5650,0,1,4,0,0,0,36,4T1BF1FK5CU1,49,40,2012,0
23,77,1,1,7208,0,1,4,0,0,0,36,JNKBV61F97M8,58,37,2007,0
25,29,1,1,458,0,1,14,0,0,0,36,JTMBD33V0750,49,402,2007,0
25,160,2,1,585,0,1,6,0,0,0,36,2T1KR32E37C6,49,47,2007,0
25,187,2,1,1097,1,1,66,1,3,285525,36,4V4NC9EH7DN5,51,881,2013,0
26,481,1,1,5340,0,1,2,0,0,0,36,2G2FV22PXR22,22,9,1994,0
26,481,1,2,5340,0,1,2,0,0,0,36,2G2FV22PXR22,22,9,1994,0
33,122,1,1,11,0,1,14,0,0,0,36,JTEHD20V9460,49,402,2004,0
34,96,3,1,1310,0,1,80,0,0,0,36,JS1GN7DA5621,53,705,2006,0
