statenum,casenum,vnumber,pnumber,city,heavytruck,body,cargo,gvwrating,mcinnnum,regstate,vconfig,vin,make,model,modelyr,feet,contribcirc
,,,,,,,,,,,,,,,,,
5,222,1,1,0,0,31,0,0,0,36,0,1FTRX14W56NA,12,481,2006,5,99
6,470,1,1,1980,0,14,0,0,0,36,0,JF2SJADC5FH5,48,401,2015,5,0
6,2156,3,1,0,0,5,0,0,0,36,0,JTDKN3DU2A51,49,46,2010,5,0
6,2438,1,1,0,0,14,0,0,0,36,0,1GKDT13W3Y23,23,401,2000,6,0
8,413,1,1,1771,0,14,0,0,0,36,0,1J8GN28K78W2,2,405,2008,5,0
9,47,3,1,170,0,5,0,0,0,36,0,JF1GH63649H8,48,38,2009,5,0
9,71,2,1,640,1,61,1,2,1718528,36,1,JALE5W164G79,84,884,2016,5,99
9,78,1,1,492,0,20,0,0,0,36,0,2C4GP443X3R1,6,441,2003,5,0
9,78,1,2,492,0,20,0,0,0,36,0,2C4GP443X3R1,6,441,2003,5,0
9,249,4,1,222,1,15,0,0,0,36,0,SALWR2VF1FA6,62,421,2015,6,0
9,249,4,2,222,1,15,0,0,0,36,0,SALWR2VF1FA6,62,421,2015,6,0
9,249,4,3,222,1,15,0,0,0,36,0,SALWR2VF1FA6,62,421,2015,6,0
9,249,4,4,222,1,15,0,0,0,36,0,SALWR2VF1FA6,62,421,2015,6,0
9,249,4,5,222,1,15,0,0,0,36,0,SALWR2VF1FA6,62,421,2015,6,0
9,250,2,1,835,0,4,0,0,0,36,0,3VWD17AJ0EM2,30,40,2014,.,0
10,47,1,1,0,0,4,0,0,0,36,0,5YFBURHE8EP1,49,32,2014,6,0
10,62,1,1,0,0,4,0,0,0,36,0,JTDBR32E9420,49,32,2004,9,0
12,21,5,1,0,0,14,0,0,0,36,0,5XYKTDA20CG2,63,402,2012,5,0
12,21,5,2,0,0,14,0,0,0,36,0,5XYKTDA20CG2,63,402,2012,5,0
12,21,5,3,0,0,14,0,0,0,36,0,5XYKTDA20CG2,63,402,2012,5,0
12,21,5,4,0,0,14,0,0,0,36,0,5XYKTDA20CG2,63,402,2012,5,0
12,21,5,5,0,0,14,0,0,0,36,0,5XYKTDA20CG2,63,402,2012,5,0
12,61,1,1,2010,0,4,0,0,0,36,0,4T1BE30K94U8,49,40,2004,5,0
12,61,1,2,2010,0,4,0,0,0,36,0,4T1BE30K94U8,49,40,2004,5,0
12,61,1,3,2010,0,4,0,0,0,36,0,4T1BE30K94U8,49,40,2004,5,0
12,194,1,1,120,1,4,0,0,0,36,0,3VW1K7AJ0FM4,30,40,2015,6,99
12,194,1,2,120,1,4,0,0,0,36,0,3VW1K7AJ0FM4,30,40,2015,6,99
12,194,1,3,120,1,4,0,0,0,36,0,3VW1K7AJ0FM4,30,40,2015,6,99
12,194,1,4,120,1,4,0,0,0,36,0,3VW1K7AJ0FM4,30,40,2015,6,99
12,544,1,1,1340,0,4,0,0,0,36,0,1HGCG66501A1,37,32,2001,5,1
12,799,1,1,0,0,4,0,0,0,36,0,1N4AL3AP5FC2,35,47,2015,9,99
12,1141,1,1,0,0,80,0,0,0,36,0,1HFSC1423EA0,37,706,1984,5,0
12,1141,1,2,0,0,80,0,0,0,36,0,1HFSC1423EA0,37,706,1984,5,0
12,1263,1,1,0,0,4,0,0,0,36,0,5NPDH4AE3DH4,55,35,2013,5,0
12,1390,2,1,0,1,66,1,3,24880,36,6,1FUJA6CK55PU,82,881,2005,5,0
12,1390,2,2,0,1,66,1,3,24880,36,6,1FUJA6CK55PU,82,881,2005,5,0
12,2027,1,1,2950,0,14,0,0,0,36,0,KNDJE7237570,63,401,2005,9,99
12,2027,1,2,2950,0,14,0,0,0,36,0,KNDJE7237570,63,401,2005,9,99
13,250,1,1,0,1,66,1,3,626164,36,6,13N148302715,98,881,2007,5,0
13,316,2,1,4655,0,4,0,0,0,36,0,5NPET46C39H5,55,33,2009,5,0
13,316,2,2,4655,0,4,0,0,0,36,0,5NPET46C39H5,55,33,2009,5,0
17,3,1,1,2460,0,4,0,0,0,36,0,1HGCP2F82BA0,37,32,2011,5,0
18,334,2,1,2570,1,66,1,3,55512,36,6,1XKFD49X1BJ2,85,884,2011,5,0
21,278,1,1,0,0,20,0,0,0,36,0,1GMDX13E94D1,22,441,2004,5,0
21,278,1,2,0,0,20,0,0,0,36,0,1GMDX13E94D1,22,441,2004,5,0
21,278,1,3,0,0,20,0,0,0,36,0,1GMDX13E94D1,22,441,2004,5,0
21,671,3,1,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,2,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,3,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,4,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,5,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,6,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
21,671,3,7,0,0,20,0,0,0,36,0,2A4RR5D1XAR2,6,441,2010,5,0
23,60,1,1,10,0,80,0,0,0,36,0,1HD1BKL11VY0,72,706,1997,6,0
23,60,2,1,10,0,80,0,0,0,36,0,1HD1KRM14EB6,72,706,2014,5,0
24,89,1,1,0,0,15,0,0,0,36,0,5FNYF4H55DB0,37,421,2013,6,0
24,89,1,2,0,0,15,0,0,0,36,0,5FNYF4H55DB0,37,421,2013,6,0
24,89,1,3,0,0,15,0,0,0,36,0,5FNYF4H55DB0,37,421,2013,6,0
24,89,1,4,0,0,15,0,0,0,36,0,5FNYF4H55DB0,37,421,2013,6,0
24,89,1,5,0,0,15,0,0,0,36,0,5FNYF4H55DB0,37,421,2013,6,0
24,138,3,1,0,0,14,0,0,0,36,0,5XYZUDLB8EG2,55,401,2014,5,0
24,250,3,1,0,1,66,2,3,255684,36,6,1XKYDP9X3HJ1,85,881,2017,6,0
24,286,1,1,0,1,4,0,0,0,36,0,1HGEJ6674WL0,37,31,1998,5,0
24,286,1,2,0,1,4,0,0,0,36,0,1HGEJ6674WL0,37,31,1998,5,0
24,286,1,3,0,1,4,0,0,0,36,0,1HGEJ6674WL0,37,31,1998,5,0
24,286,1,4,0,1,4,0,0,0,36,0,1HGEJ6674WL0,37,31,1998,5,0
24,315,1,1,0,1,66,1,3,777777777,36,6,1FUJGLBG3FLG,82,881,2015,6,0
24,403,1,1,0,1,66,1,3,2099831,36,6,3AKJGLD59GSG,82,881,2016,6,2
25,230,1,1,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
25,230,1,2,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
25,230,1,3,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
27,142,1,1,4810,0,80,0,0,0,36,0,1HD1FRW132Y6,72,706,2002,6,0
33,14,1,1,120,0,4,0,0,0,36,0,1HGCP2F31AA0,37,32,2010,5,0
33,56,1,1,395,0,99,0,0,0,36,0,1E+12,99,999,9999,9,98
33,100,4,1,218,0,14,0,0,0,36,0,5N1AR1NB8CC6,35,401,2012,5,0
34,28,1,1,1993,0,4,0,0,0,36,0,1G4CU5210W46,18,3,1998,5,0
34,73,1,1,18,0,6,0,0,0,36,0,JM3TB3CV3C03,41,54,2012,5,0
34,112,2,1,2942,0,4,0,0,0,36,0,4T1BF3EK5AU1,49,40,2010,5,0
34,198,1,1,660,0,80,0,0,0,36,0,JYARJ16E88A0,76,705,2008,9,0
34,200,2,1,3370,0,5,0,0,0,36,0,JTDKN3DU8C15,49,46,2012,5,0
34,200,2,2,3370,0,5,0,0,0,36,0,JTDKN3DU8C15,49,46,2012,5,0
34,207,1,1,3370,0,14,0,0,0,36,0,JTJHW31U0600,59,403,2006,5,0
34,217,1,1,2510,0,58,22,8,888888888,36,21,1E+12,98,981,2009,5,0
34,226,1,1,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,2,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,3,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,4,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,239,1,1,1505,0,4,0,0,0,36,0,JTHBK1GG1D20,59,31,2013,6,0
34,239,1,2,1505,0,4,0,0,0,36,0,JTHBK1GG1D20,59,31,2013,6,0
34,241,1,1,3730,0,4,0,0,0,36,0,1G1JF5242172,20,16,2001,5,0
34,268,1,1,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,2,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,3,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,4,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,275,1,1,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
34,275,1,2,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
34,275,1,3,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
